2	小委托人 어린 의뢰인	2019	7.9	韩语	114.0	2019-05-22(韩国)	韩国	NaN	韩国|真实改编|韩国电影|真实事件改编|儿童家暴|2019|法律|剧情	讲述的是希望出人头地的律师，和坦白杀了自己7岁弟弟的10岁少女相遇后发生的感人故事。虽然少女承认自己犯下了令人发指的罪行，2但律师却察觉案情另有蹊跷，qiwan.cc决定为少女辩护，并在最终迎来了令人震惊的真相。	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557335459.jpg
3	夏福特 Shaft	2019	7.0	英语	111.0	2019-06-14(美国)	美国	动作|犯罪	动作|喜剧|犯罪|美国|2019|塞缪尔·杰克逊|黑人|美国电影	杰西·厄舍加盟[杀戮战警]续作[夏福特之子](Son of Shaft，暂译)，塞缪尔·杰克逊同时回归。本片由蒂姆·斯托瑞([佐州自救兄弟])执导，肯尼亚·巴里斯编剧。厄舍扮演杰克逊的儿子，他同时也是一名联邦调查局工作人员，更是网络专家。	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2547290223.jpg
4	恶人传 악인전	2019	7.6	韩语	110.0	2019-05-15(韩国)	韩国	动作|犯罪	韩国|犯罪|动作|暴力|警匪|2019|人性|悬疑	罪犯头目张东洙（Don Lee）被一名神秘莫测的连环杀手暴力袭击之后幸存，与当地警探郑泰硕（Kim Moo Yul）形成了一种奇妙的搭档关系，联手捕捉被称为“K”的虐待狂杀手”。	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2555084871.jpg
5	孟买酒店 Hotel Mumbai	2018	8.4	英语 | 印地语 | 旁遮普语 | 希腊语 | 俄语 | 阿拉伯语 | 乌尔都语 | 波斯语	123.0	2018-09-07(多伦多电影节)|2018-10-10(阿德莱德电影节)	澳大利亚 | 美国 | 印度	剧情|惊悚|历史	真实事件改编|印度|恐怖袭击|犯罪|剧情|惊悚|历史|2018	影片真实再现震惊世界的“印度9·11”孟买恐袭事件，2008年11月，著名的泰姬陵酒店意外遭到恐怖分子入侵，恐怖分子无差别行凶，让整个酒店陷入绝望之境，百余名酒店住客及员工被困，无人得知何时能等来救援，一场与死神的赛跑就此开启…	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2545020183.jpg
6	雪暴	2018	6.2	汉语普通话	111.0	2019-04-30(中国大陆)|2018-10-05(釜山电影节)	中国大陆	动作|悬疑|犯罪	犯罪|警匪|森林公安|中国大陆|悬疑|剧情|暴力|动作	电影《雪暴》讲述了在一座极北的边陲小镇，一伙穷凶极恶、作案手法老到的悍匪为抢夺黄金，打劫运金车，并借助大雪掩盖了所有犯罪痕迹。为了探求真相，警察王康浩暗地里搜集证据，熟悉地形，终于在一场灾难级的暴雪降临时，与谋财害命的悍匪发生了惊心动魄的正面对决……	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2554545271.jpg
7	毒液：致命守护者 Venom	2018	7.2	英语 | 汉语普通话	112.0	2018-11-09(中国大陆)|2018-10-05(美国)	美国 | 中国大陆	动作|科幻|惊悚	漫威|超级英雄|科幻|美国|搞笑|动作|2018|漫画改编	艾迪（汤姆·哈迪 Tom Hardy 饰）是一位深受观众喜爱的新闻记者，和女友安妮（米歇尔·威廉姆斯 Michelle Williams 饰）相恋多年，彼此之间感情十分要好。安妮是一名律师，接手了生命基金会的案件，在女友的邮箱里，艾迪发现了基金会老板德雷克（里兹·阿迈德 Riz Ahmed 饰）不为人知的秘密。为此，艾迪不仅丢了工作，女友也离他而去。                                    |                                　　之后，生命基金会的朵拉博士（珍妮·斯蕾特 Jenny Slate 饰）找到了艾迪，希望艾迪能够帮助她阻止德雷克疯狂的罪行。在生命基金会的实验室里，艾迪发现了德雷克进行人体实验的证据，并且在误打误撞之中被外星生命体毒液附身。回到家后，艾迪和毒液之间形成了共生关系，他们要应对的是德雷克派出的一波又一波杀手。	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2537158013.jpg
8	流浪地球	2019	7.9	汉语普通话 | 英语 | 俄语 | 法语 | 日语 | 韩语 | 印尼语	125.0	2019-02-05(中国大陆)	中国大陆	科幻|灾难	科幻|中国大陆|灾难|太空|小说改编|2019|人性|行星发动机	近未来，科学家们发现太阳急速衰老膨胀，短时间内包括地球在内的整个太阳系都将被太阳所吞没。为了自救，人类提出一个名为“流浪地球”的大胆计划，即倾全球之力在地球表面建造上万座发动机和转向发动机，推动地球离开太阳系，用2500年的时间奔往另外一个栖息之地。中国航天员刘培强（吴京 饰）在儿子刘启四岁那年前往国际空间站，和国际同侪肩负起领航者的重任。转眼刘启（屈楚萧 饰）长大，他带着妹妹朵朵（赵今麦 饰）偷偷跑到地表，偷开外公韩子昂（吴孟达 饰）的运输车，结果不仅遭到逮捕，还遭遇了全球发动机停摆的事件。为了修好发动机，阻止地球坠入木星，全球开始展开饱和式营救，连刘启他们的车也被强征加入。在与时间赛跑的过程中，无数的人前仆后继，奋不顾身，只为延续百代子孙生存的希望……                                    |                                　　本片根据刘慈欣的同名小说改编。	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2545472803.jpg
9	地久天长	2019	7.9	汉语普通话	175.0	2019-03-22(中国大陆)|2019-02-14(柏林电影节)	中国大陆	剧情|家庭	家庭|中国大陆|人生|文艺|柏林电影节|剧情|社会|2019	影片讲述患难与共的两个家庭因为一场有隐情的意外被迫疏远，他们在时代洪流下历尽伤痛与不安，人生起伏跌宕，最终选择面对真相，坦荡向前的故事。                                    |                                　　年轻的刘耀军和沈英明两家人本是挚友，两家儿子沈浩和刘星在郊外嬉戏中，耀军的儿子刘星意外身亡，此事彻底改变了两家人的命运。刘家夫妇远赴南方。多年后，容颜已老的他们再次相聚，隐藏的真相终将因为年轻一代人的坦荡而揭开。岁月流逝，生命滚滚向前……	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550208359.jpg
10	大侦探皮卡丘 Pokémon Detective Pikachu	2019	6.6	英语 | 日语	104.0	2019-05-10(美国/中国大陆)	美国 | 日本	喜剧|动画|奇幻|冒险	动画|美国|童年|动漫|2019|日本|喜剧|游戏改编	好莱坞真人电影《大侦探皮卡丘》（暂译）讲述了蒂姆·古德曼（贾 斯 提·史密斯饰） 为寻找下落不明的父亲来到莱姆市，意外与父亲的前宝可梦搭档大侦探皮卡丘相遇，并惊讶地发现自己是唯一能听懂皮卡丘说话的人类，他们决定组队踏上揭开真相的刺激冒险之路。探案过程中他们邂逅了各式各样 的宝可梦，并意外发现了一个足以毁灭整个宝可梦宇宙的惊天阴谋。该电影改编自任天堂3DS同名游戏，由罗伯·莱特曼导演，瑞安·雷诺兹为大侦探皮卡丘配音，贾斯提斯·史密斯、凯瑟琳·纽顿等主演。	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555538168.jpg
11	绿皮书 Green Book	2018	8.9	英语 | 意大利语 | 俄语 | 德语	130.0	2019-03-01(中国大陆)|2018-09-11(多伦多电影节)|2018-11-16(美国)	美国	剧情|喜剧|传记	黑人平权|种族|温情|美国|真实事件改编|公路|剧情|喜剧	托尼（维果·莫腾森 Viggo Mortensen 饰）是一个吊儿郎当游手好闲的混混，在一家夜总会做侍者。这间夜总会因故要停业几个月，可托尼所要支付的房租和生活费不会因此取消，所以他的当务之急是去寻找另一份工作来填补这几个月的空缺。在这个节骨眼上，一位名叫唐雪莉（马赫沙拉·阿里 Mahershala Ali 饰）的黑人钢琴家提出雇佣托尼。                                    |                                　　唐雪莉即将开始为期八个星期的南下巡回演出，可是，那个时候南方对黑人的歧视非常的严重，于是托尼便成为了唐雪莉的司机兼保镖。一路上，两人迥异的性格使得他们之间产生了很多的矛盾，与此同时，唐雪莉在南方所遭受的种种不公平的对待也让托尼对种族歧视感到深恶痛绝。	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg
12	调音师 Andhadhun	2018	8.3	印地语	139.0	2019-04-03(中国大陆)|2018-10-05(印度)	印度	喜剧|悬疑|惊悚|犯罪	反转|悬疑|印度|人性|黑色幽默|犯罪|剧情|喜剧	双目失明的钢琴家阿卡什（阿尤斯曼·库拉纳 Ayushmann Khurrana 饰）为了参加国际大赛，平日里通过私人授课赚取经费。事实上他的眼睛完全正常，只不过希望通过这种方式感受不同的生活。因为一场意外，阿卡什结识了美丽的姑娘苏菲（拉迪卡·艾普特 Radhika Apte 饰）。凭借出色的演奏技巧，阿卡什在苏菲父亲经营的西餐馆谋得兼职。他的演奏不仅令食客们倾倒，更虏获了苏菲的心。某天，阿卡什接受过气的影星普拉默（安尔·德霍万 Anil Dhawan 饰）的邀请，登门为对方的妻子西米（塔布 Tabu 饰）演奏庆生，谁知却亲眼目睹了倒在血泊中的普拉默的尸体。惊慌失措的阿卡什假装镇定，虽然暂时骗过了西米及其情夫，但是他的秘密还是慢慢被人戳穿……                                    |                                　　本片改编自2010年的同名法国高分悬疑短片。	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2551995207.jpg
13	飞驰人生	2019	6.9	汉语普通话 | 英语	98.0	2019-02-05(中国大陆)	中国大陆	喜剧	赛车|喜剧|中国大陆|2019|黑色幽默|搞笑|青春|文艺	曾经叱咤风云的拉力赛车手张驰（沈腾 饰），五年前因私自赛车而被禁赛。从天堂跌落谷底，张驰饱尝生活的艰辛。他忍辱负重，洗心革面，终于争取到了解禁的判决。在此之后，他重新找到亲如兄弟的领航员孙宇强（尹正 饰），决心共同冲击本年度的巴音布鲁克拉力赛。然而在此之前，张驰必须重考驾照，改装赛车，拉到赞助。每一步都充满艰难，他忍受着旁人的奚落嘲讽，忍受着现实的冰冷残酷，无论如何都不改变前进的目标。当他好不容易走到了赛场，还将面对禁赛这几年崛起的新秀林臻东（黄景瑜 饰）的挑战。                                    |                                　　张驰的时代是否就此远去……	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2542973862.jpg
14	疯狂的外星人	2019	6.4	汉语普通话 | 英语	116.0	2019-02-05(中国大陆)	中国大陆	喜剧|科幻	喜剧|搞笑|黑色幽默|贺岁|中国大陆|春节档|2019|科幻	号称银河系最先进的外星文明试图和地球建交，谁知一连串的误会导致意外发生。外星使者的飞船坠入大气层，最终摔在了中国某市的世界公园中。靠耍猴戏为生的耿浩（黄渤 饰）和酒贩子好友大飞（沈腾 饰）把受伤的外星人错认为来自南美洲的猴子，在自家猴子受伤的情况下，耿浩开始训练起这个他口中的“刚果骚骚猴”来了。由于失去了超能力加成设备，外星人的本事无法施展，只能任由这两个傻乎乎的地球人打骂操练。尽管如此，他仍试图夺回自己的装备。另一方面，之前与外星人交流失败的超级大国根据外星人留下的信息，穿梭世界各地寻找外星使者。地球的命运朝着不可预测的方向发展……                                    |                                　　本片创意来自刘慈欣的科幻小说《乡村教师》。	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541901817.jpg
15	金蝉脱壳3：恶魔车站 Escape Plan: The Extractors	2019	4.1	英语 | 汉语普通话	87.0	2019-07-02(美国)	美国	动作	动作|金蝉脱壳|美国|烂片|张晋|犯罪|2019|史泰龙	某香港科技大亨的女儿失踪，Breslin发现罪犯是自己一个老对手的疯狂儿子，他还绑架了Breslin的爱人Abigail，并把她关在名为“恶魔车站”的巨大监狱里。 Breslin将和自己的团队硬闯虎穴，试图劫狱。	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2556785928.jpg
